,loss,accuracy,val_loss,val_accuracy
0,0.3954058885574341,0.28620100021362305,0.21123100817203522,0.4614308178424835
1,0.17769180238246918,0.5558541417121887,0.16351361572742462,0.5864891409873962
2,0.1451861411333084,0.6554161310195923,0.14374138414859772,0.6602349281311035
3,0.12988245487213135,0.6958122849464417,0.1318543255329132,0.6841101050376892
4,0.11947870999574661,0.7206339836120605,0.12422693520784378,0.7024299502372742
5,0.11356664448976517,0.7332670092582703,0.1198485791683197,0.6975955367088318
6,0.10943112522363663,0.7401654720306396,0.11610031872987747,0.7073491215705872
7,0.10584011673927307,0.7498360276222229,0.1164417490363121,0.7065858244895935
8,0.10181117802858353,0.7584696412086487,0.11176467686891556,0.7196047902107239
9,0.09930077940225601,0.7637386918067932,0.11245761811733246,0.7110385298728943
10,0.09638847410678864,0.7720337510108948,0.10400370508432388,0.7389847636222839
11,0.0939648374915123,0.7743403315544128,0.10300477594137192,0.7423773407936096
12,0.09358085691928864,0.7756946086883545,0.1030537486076355,0.7353801727294922
13,0.0917046070098877,0.7788898944854736,0.09850962460041046,0.7532759308815002
14,0.08973463624715805,0.7833759784698486,0.09936873614788055,0.7489504218101501
15,0.08917997032403946,0.7851746678352356,0.09798207879066467,0.7542089223861694
16,0.08794976025819778,0.7864866852760315,0.09745660424232483,0.7545905709266663
17,0.08667629957199097,0.7884122729301453,0.09691271930932999,0.7520037293434143
18,0.0852385014295578,0.7963052988052368,0.09546351432800293,0.7578558921813965
19,0.0832120031118393,0.7992889881134033,0.09563404321670532,0.7509011626243591
20,0.08364765346050262,0.7969401478767395,0.09586481750011444,0.7563716769218445
21,0.08281315863132477,0.8000719547271729,0.0936993956565857,0.7633687853813171
22,0.08182672411203384,0.8027805685997009,0.09374215453863144,0.7600610852241516
23,0.08081503957509995,0.8046849966049194,0.0953514575958252,0.7559475898742676
24,0.08005938678979874,0.8052563667297363,0.09417519718408585,0.7602307200431824
25,0.08070605248212814,0.8042618036270142,0.09580987691879272,0.751494824886322
26,0.08060536533594131,0.80555260181427,0.09041035175323486,0.7747339010238647
27,0.07784982770681381,0.811435341835022,0.0896950215101242,0.7748187184333801
28,0.07785182446241379,0.8123241066932678,0.09303873032331467,0.7593825459480286
29,0.07737210392951965,0.812175989151001,0.09091395139694214,0.7697298526763916
30,0.07728136330842972,0.814461350440979,0.09042149782180786,0.7691361904144287
31,0.0750068947672844,0.8197092413902283,0.09009278565645218,0.7715109586715698
32,0.07550792396068573,0.8194341659545898,0.09553531557321548,0.7528518438339233
33,0.07534521818161011,0.8203017711639404,0.09201519936323166,0.7624358534812927
34,0.0746799185872078,0.8225236535072327,0.09001802653074265,0.7707052230834961
35,0.0731784775853157,0.8246397376060486,0.09313134104013443,0.7620965838432312
36,0.07415054738521576,0.8243435025215149,0.09211218357086182,0.7643865942955017
37,0.07283353805541992,0.828596830368042,0.09587369859218597,0.7593401670455933
